,Country,Year,Age Group,Both sexes,Male,Female,Both sexes.1,Male.1,Female.1
65,Germany,2010,18+  years,21.1,18.7,23.5,23.4 [5.8-57.3],20.1 [5.5-56.2],26.5 [6.7-60.6]
66,Ghana,2010,18+  years,15.6,13.1,18.0,14.6 [12.2-17.2],11.9 [8.8-15.5],17 [13.5-21]
67,Greece,2010,18+  years,12.9,10.1,15.7,15.4 [3.5-41.3],12.4 [3.2-34.6],18.2 [4.1-46.6]
68,Grenada,2010,18+  years,30.5,23.9,37.2,30.2 [26.1-34.6],22.9 [16.4-30.6],37.4 [32.2-42.9]
69,Guatemala,2010,18+  years,13.3,11.5,15.0,12.4 [2.6-37.2],10.5 [2.5-35.5],14.1 [3-40]
70,Guinea,2010,18+  years,9.9,7.1,12.7,8.2 [1.3-17.6],5.4 [1-13.5],11 [1.8-23.2]
75,Hungary,2010,18+  years,18.1,17.2,19.0,20.9 [5.2-51.7],18.5 [5.2-52.1],23 [5.7-53.3]
77,India,2010,18+  years,13.4,10.8,16.1,12.1 [10.8-13.4],9.2 [7.3-11.2],15.1 [13.4-17]
78,Indonesia,2010,18+  years,23.7,25.5,22.0,22.8 [18-28.1],24.4 [17.5-32.4],21.1 [14.8-28.9]
79,Iran (Islamic Republic of),2010,18+  years,33.5,24.1,42.9,31.9 [30.5-33.3],22.3 [20.7-24],41.6 [39.4-43.9]
80,Iraq,2010,18+  years,49.3,52.8,45.8,46.3 [42.4-50.3],49.6 [44-55.3],43.1 [37.6-48.6]
81,Ireland,2010,18+  years,35.1,30.0,40.1,36 [11.3-73],30.6 [10-70.7],41.2 [13.7-76.8]
83,Italy,2010,18+  years,33.2,28.2,38.1,35.9 [10.9-72.5],30 [9.6-69.7],41.3 [13.4-76.8]
84,Jamaica,2010,18+  years,27.9,23.9,31.8,28.1 [7.9-64.7],23.7 [7.3-62.4],32.2 [9.2-68.3]
85,Japan,2010,18+  years,33.8,31.1,36.5,38.7 [13.6-75.8],35.1 [13.7-75.2],42 [14.7-77.6]
86,Jordan,2010,18+  years,15.6,15.6,15.6,12.1 [10.8-13.5],12.7 [10.9-14.7],11.4 [9.6-13.4]
87,Kazakhstan,2010,18+  years,20.6,20.2,21.0,20 [5-52.4],18.8 [5.4-54.3],21 [5.1-52.7]
88,Kenya,2010,18+  years,19.2,17.3,21.1,16.9 [3.9-46.5],14.9 [3.9-46.1],18.9 [4.4-49.4]
89,Kiribati,2010,18+  years,41.1,33.9,48.2,39.6 [33-46.4],31.9 [23-41.6],46.9 [37.5-56.5]
90,Kuwait,2010,18+  years,56.6,49.2,63.9,53.6 [51.4-55.8],48.3 [44.1-52.5],62.8 [60.2-65.4]
91,Kyrgyzstan,2010,18+  years,13.3,10.4,16.1,12.3 [10.7-14.1],9.1 [6.4-12.5],15.3 [13.3-17.6]
92,Lao People's Democratic Republic,2010,18+  years,10.3,4.7,16.0,9 [7.4-10.8],3.1 [2.1-4.5],14.6 [10.9-19.1]
93,Latvia,2010,18+  years,22.0,18.3,25.6,23.8 [5.9-58.3],19.3 [5.3-54.4],27.3 [7-62.7]
94,Lebanon,2010,18+  years,38.8,43.9,33.8,39.1 [33.5-45],43.7 [35.6-52.2],34.2 [26.4-42.7]
95,Lesotho,2010,18+  years,7.2,7.5,7.0,6.1 [4.9-7.5],5.8 [3.8-8.9],6.3 [4.9-8]
96,Liberia,2010,18+  years,27.5,24.5,30.6,25.9 [22-30],22.4 [16.7-29],29.3 [24.1-34.9]
97,Libya,2010,18+  years,38.0,32.8,43.3,36.6 [33.3-39.9],31 [27-35.1],42.3 [36.8-47.9]
98,Lithuania,2010,18+  years,18.4,16.1,20.6,20.2 [14.1-27.4],16.6 [9.3-26.5],23.1 [13.9-34.7]
99,Luxembourg,2010,18+  years,28.5,26.6,30.4,30 [8.5-66.5],28.2 [9-66.8],31.7 [8.8-68.1]
100,Madagascar,2010,18+  years,17.9,13.7,22.2,16 [13.1-19.2],11.7 [8.4-15.8],20.1 [15.5-25.4]
101,Malawi,2010,18+  years,7.5,5.6,9.4,6.2 [5.3-7.2],4.3 [3-6.1],8 [6.9-9.4]
102,Malaysia,2010,18+  years,52.3,46.7,58.0,51.6 [46.3-56.8],45.6 [38-53.4],57.2 [50-64.3]
103,Maldives,2010,18+  years,30.7,25.8,35.5,30.3 [6.2-53.8],24.2 [5.3-48.4],36.3 [8.1-60.7]
104,Mali,2010,18+  years,23.7,18.2,29.1,21.2 [5.5-54.6],16.2 [4.3-49.2],26 [7-60.5]
105,Malta,2010,18+  years,42.9,38.6,47.2,45.2 [16-80.7],40.3 [15-79.6],49.9 [18.6-83.2]
106,Marshall Islands,2010,18+  years,44.5,38.0,51.1,47.6 [42.5-52.8],41.2 [34.1-48.8],53.9 [46.8-61.1]
107,Mauritania,2010,18+  years,45.1,38.0,52.1,42.5 [15-79.7],35.3 [12.8-76.4],49.7 [19.2-84]
108,Mauritius,2010,18+  years,25.2,23.1,27.3,25.4 [7-60.3],22.7 [6.9-60.2],27.9 [7.7-62.6]
109,Mexico,2010,18+  years,26.0,20.3,31.8,25.4 [19.9-31.5],18.9 [11.8-27.8],31.2 [23.1-39.9]
110,Micronesia (Federated States of),2010,18+  years,36.0,31.1,40.9,36.6 [33.6-39.7],32 [27.5-36.8],41.4 [37.3-45.6]
112,Mongolia,2010,18+  years,21.4,19.6,23.2,19.6 [16.8-22.8],17.5 [13.8-21.7],21.7 [17.4-26.6]
115,Mozambique,2010,18+  years,5.8,5.5,6.2,4.8 [3.1-7.1],4.3 [2.2-7.9],5.2 [3-8.7]
116,Myanmar,2010,18+  years,9.9,8.3,11.6,9 [7.4-10.9],7.2 [5.1-9.8],10.7 [8.4-13.5]
117,Namibia,2010,18+  years,31.8,26.4,37.1,29.7 [8.7-67.3],23.9 [7.4-63.2],34.8 [10.7-72.2]
118,Nauru,2010,18+  years,40.7,36.4,45.0,44.2 [41.8-46.7],40.5 [37.2-44.1],47.9 [44.4-51.4]
119,Nepal,2010,18+  years,4.1,4.5,3.7,3.3 [2.9-3.8],3.9 [2.7-5.7],2.8 [2.4-3.2]
120,Netherlands,2010,18+  years,15.5,14.0,17.0,17.9 [4.1-46.4],16 [4.2-46.3],19.7 [4.5-48.9]
121,New Zealand,2010,18+  years,39.8,35.8,43.7,40.7 [38.5-43],36.8 [33.9-39.8],44.4 [41-47.9]
123,Niger,2010,18+  years,25.1,23.3,27.0,23 [18.8-27.8],21.2 [15.7-27.5],24.8 [18.1-32.6]
124,Nigeria,2010,18+  years,22.3,20.6,24.0,19.8 [7.5-63.9],17.7 [7.9-64.3],21.9 [7.8-65.3]
125,Niue,2010,18+  years,5.6,6.7,4.6,7.1 [5.6-9],8.1 [6.2-10.8],6.1 [3.9-8.9]
