,,,"Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Congo","2010","18+  years","25.4 [6.8-59.4]","21.2 [6.1-56.8]","29.6 [8.3-63.7]","22.4 [5.9-56]","18.6 [5.3-53.6]","26.1 [7.1-60.1]"
"Cook Islands","2010","18+  years","65 [60.4-69.4]","62.7 [54.9-70]","67.3 [61.4-72.8]","65.5 [60.9-69.9]","63.3 [55.5-70.6]","67.7 [61.8-73.2]"
"Costa Rica","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Croatia","2010","18+  years","16.2 [3.8-43]","15 [3.9-45.1]","17.4 [4.1-44.2]","19.8 [4.9-48.3]","16.8 [4.5-48]","22.5 [5.6-51.3]"
"Cuba","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Cyprus","2010","18+  years","34.7 [10.7-71.9]","28.9 [9.4-68.3]","40.4 [13.1-76.6]","35.3 [11-72.5]","29.3 [9.6-68.6]","41.5 [13.6-77.3]"
"Czechia","2010","18+  years","23.8 [18.5-29.6]","22.7 [16-30.6]","24.8 [16.9-33.9]","26.2 [21-32.1]","24.1 [17.4-32]","28.2 [20.3-37.3]"
"Democratic People's Republic of Korea","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","2010","18+  years","26 [20.7-32]","23.1 [15.8-32]","29 [21.7-37.3]","25 [19.7-30.9]","21.8 [14.4-30.6]","28.1 [20.8-36.3]"
"Denmark","2010","18+  years","24.3 [6.4-58.9]","22.4 [6.5-59.7]","26.2 [6.9-60.7]","26.6 [7.1-61.7]","24.3 [7.2-62]","28.9 [7.7-63.7]"
"Djibouti","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Dominica","2010","18+  years","21.8 [18.9-24.8]","13.3 [9.9-17.6]","30.2 [26-34.6]","26.2 [23.4-29.3]","17.9 [14.5-22.2]","34.6 [30.5-39]"
"Dominican Republic","2010","18+  years","35.9 [11.6-73.3]","31.5 [10.9-71.8]","40.3 [13.5-76.7]","35 [11.1-72.6]","30.5 [10.5-70.9]","39.4 [13.1-76.1]"
"Ecuador","2010","18+  years","25.2 [6.8-60.4]","19.6 [5.5-55.1]","30.8 [8.7-66.6]","24.5 [6.5-59.4]","18.9 [5.3-54.3]","29.9 [8.4-65.7]"
"Egypt","2010","18+  years","32.3 [28-36.9]","25.1 [18.5-33.1]","39.4 [33.8-45.4]","31 [26.7-35.7]","23.4 [16.7-31.3]","38.6 [32.9-44.5]"
"El Salvador","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Equatorial Guinea","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Eritrea","2010","18+  years","10.7 [9.2-12.2]","5.7 [4.5-7.1]","15.6 [12.6-19.1]","9 [7.5-10.6]","4.2 [3-5.6]","13.5 [10.5-16.9]"
"Estonia","2010","18+  years","11.9 [2.7-35.1]","11.2 [2.8-34.5]","12.6 [2.7-33.3]","15.2 [3.5-39.2]","12 [3-35.4]","17.9 [4.1-41.2]"
"Ethiopia","2010","18+  years","18.9 [4.9-50.1]","14 [3.6-42.9]","23.9 [6.2-56.2]","17.1 [4.2-47]","12.6 [3.1-40.7]","21.5 [5.3-53.3]"
"Fiji","2010","18+  years","17 [14.7-19.4]","10.7 [8.3-13.6]","23.2 [19.5-27.3]","15.7 [13.4-18.1]","9.5 [7.1-12.4]","22 [18.3-26.1]"
"Finland","2010","18+  years","23.5 [6.1-57.6]","21.7 [6.3-57.8]","25.3 [6.5-59.7]","26.2 [6.9-60.9]","24.2 [7.2-61.1]","28.1 [7.3-62.9]"
"France","2010","18+  years","23.8 [19.9-28]","19.1 [14.1-24.8]","28.5 [22.8-34.8]","26.4 [22.6-30.6]","21.2 [16.2-26.9]","31.2 [25.5-37.5]"
"Gabon","2010","18+  years","26 [4.5-43.4]","17.7 [2.9-31.3]","34.4 [6.3-52.4]","24.5 [4.2-41.4]","15.5 [2.5-27.6]","33.5 [6-50.9]"
"Gambia","2010","18+  years","21.5 [16.7-27.1]","16.9 [11.1-24.5]","26.1 [18.8-34.9]","18.7 [13.9-24.3]","14.2 [8.4-21.9]","22.9 [15.6-31.7]"
"Georgia","2010","18+  years","20.6 [18.9-22.4]","20.2 [16.6-24.3]","21 [19.1-23.1]","22.5 [20.8-24.3]","21.1 [17.4-25.1]","23.7 [21.8-25.7]"
"Germany","2010","18+  years","21.1 [5.2-54.4]","18.7 [5.1-54.2]","23.5 [5.9-56.8]","23.4 [5.8-57.3]","20.1 [5.5-56.2]","26.5 [6.7-60.6]"
"Ghana","2010","18+  years","15.6 [13.2-18.2]","13.1 [10.1-16.7]","18 [14.5-22]","14.6 [12.2-17.2]","11.9 [8.8-15.5]","17 [13.5-21]"
"Greece","2010","18+  years","12.9 [2.9-36.5]","10.1 [2.6-28.9]","15.7 [3.4-42.1]","15.4 [3.5-41.3]","12.4 [3.2-34.6]","18.2 [4.1-46.6]"
"Grenada","2010","18+  years","30.5 [26.4-34.9]","23.9 [17.3-31.6]","37.2 [31.9-42.7]","30.2 [26.1-34.6]","22.9 [16.4-30.6]","37.4 [32.2-42.9]"
"Guatemala","2010","18+  years","13.3 [2.8-38.8]","11.5 [2.8-37.3]","15 [3.2-41.5]","12.4 [2.6-37.2]","10.5 [2.5-35.5]","14.1 [3-40]"
"Guinea","2010","18+  years","9.9 [1.7-20.9]","7.1 [1.4-17.2]","12.7 [2.3-26.3]","8.2 [1.3-17.6]","5.4 [1-13.5]","11 [1.8-23.2]"
"Guinea-Bissau","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Guyana","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Haiti","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Honduras","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Hungary","2010","18+  years","18.1 [4.4-48.5]","17.2 [4.8-50.1]","19 [4.5-48.8]","20.9 [5.2-51.7]","18.5 [5.2-52.1]","23 [5.7-53.3]"
